userid,movieid,ratings,timestamp,titles,genres
11,1059,4,978220622,William Shakespeare's Romeo and Juliet (1996),Drama|Romance
12,111,5,978220179,Taxi Driver (1976),Drama|Thriller
12,1221,5,978218949,"Godfather: Part II, The (1974)",Action|Crime|Drama
12,3265,4,978218916,Hard-Boiled (Lashou shentan) (1992),Action|Crime
13,2006,3,978201843,"Mask of Zorro, The (1998)",Action|Adventure|Romance
13,1129,3,978202328,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
13,3745,3,978201368,Titan A.E. (2000),Adventure|Animation|Sci-Fi
14,296,5,978201244,Pulp Fiction (1994),Crime|Drama
14,2920,5,978200528,Children of Paradise (Les enfants du paradis) (1945),Drama|Romance
14,1982,1,978200340,Halloween (1978),Horror
15,524,4,978198150,Rudy (1993),Drama
15,50,4,978197842,"Usual Suspects, The (1995)",Crime|Thriller
15,2424,3,978197100,You've Got Mail (1998),Comedy|Romance
16,2805,3,978174671,Mickey Blue Eyes (1999),Comedy|Romance
16,2699,5,978174414,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller
16,266,2,978174188,Legends of the Fall (1994),Drama|Romance|War|Western
17,457,5,978159859,"Fugitive, The (1993)",Action|Thriller
17,529,4,978160304,Searching for Bobby Fischer (1993),Drama
17,454,4,978160260,"Firm, The (1993)",Drama|Thriller
18,3668,3,978156936,Romeo and Juliet (1968),Drama|Romance
18,454,3,978157412,"Firm, The (1993)",Drama|Thriller
18,527,5,978156146,Schindler's List (1993),Drama|War
19,1610,2,978147043,"Hunt for Red October, The (1990)",Action|Thriller
19,368,2,978147113,Maverick (1994),Action|Comedy|Western
19,47,4,978554124,Seven (Se7en) (1995),Crime|Thriller
20,3578,5,978143344,Gladiator (2000),Action|Drama
20,47,5,978143306,Seven (Se7en) (1995),Crime|Thriller
20,1617,5,978143181,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
21,2355,3,978139398,"Bug's Life, A (1998)",Animation|Children's|Comedy
21,2294,3,978139446,Antz (1998),Animation|Children's
21,3745,5,978139423,Titan A.E. (2000),Adventure|Animation|Sci-Fi
22,2792,3,978153241,Airplane II: The Sequel (1982),Comedy
22,1991,2,978155249,Child's Play (1988),Horror
22,2795,4,978152994,Vacation (1983),Comedy
23,457,3,978465744,"Fugitive, The (1993)",Action|Thriller
23,60,3,978461604,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
23,2289,4,978465212,"Player, The (1992)",Comedy|Drama
24,2797,4,978132040,Big (1988),Comedy|Fantasy
24,296,5,978132794,Pulp Fiction (1994),Crime|Drama
24,2858,4,978132571,American Beauty (1999),Comedy|Drama
25,2502,5,978131157,Office Space (1999),Comedy|Romance
25,435,3,978132739,Coneheads (1993),Comedy|Sci-Fi
25,2501,5,978132742,October Sky (1999),Drama
26,524,5,978138560,Rudy (1993),Drama
26,2797,3,978143298,Big (1988),Comedy|Fantasy
26,2798,1,978146047,Problem Child (1990),Comedy
27,528,2,978129768,"Scout, The (1994)",Drama
27,1997,3,978128920,"Exorcist, The (1973)",Horror
27,3593,1,978128865,Battlefield Earth (2000),Action|Sci-Fi
28,2282,4,978126317,Pecker (1998),Comedy|Drama
28,954,5,978125566,Mr. Smith Goes to Washington (1939),Drama
28,2797,3,978125358,Big (1988),Comedy|Fantasy
29,2944,5,978135871,"Dirty Dozen, The (1967)",Action|War
29,969,3,978136162,"African Queen, The (1951)",Action|Adventure|Romance|War
29,2872,3,978135913,Excalibur (1981),Action|Drama|Fantasy|Romance
30,527,5,978121902,Schindler's List (1993),Drama|War
30,1617,4,978121947,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
30,1545,2,978121902,Ponette (1996),Drama
31,955,5,978121375,Bringing Up Baby (1938),Comedy
31,3591,3,978121735,Mr. Mom (1983),Comedy|Drama
31,2935,4,978121716,"Lady Eve, The (1941)",Comedy|Romance
32,47,4,978119379,Seven (Se7en) (1995),Crime|Thriller
32,1208,4,978121689,Apocalypse Now (1979),Drama|War
32,3147,5,978123863,"Green Mile, The (1999)",Drama|Thriller
33,1127,4,978109413,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
33,1125,4,978110427,"Return of the Pink Panther, The (1974)",Comedy
33,2791,4,978108670,Airplane! (1980),Comedy
34,2001,5,978103354,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
34,2794,5,978104238,European Vacation (1985),Comedy
34,3597,2,978103898,Whipped (2000),Comedy
35,2863,4,978101958,"Hard Day's Night, A (1964)",Comedy|Musical
35,2932,5,978103051,Days of Heaven (1978),Drama
35,953,5,978103035,It's a Wonderful Life (1946),Drama
36,1701,4,1040544350,Deconstructing Harry (1997),Comedy|Drama
36,2502,3,978061792,Office Space (1999),Comedy|Romance
36,524,4,978064441,Rudy (1993),Drama
37,605,5,978046483,One Fine Day (1996),Drama|Romance
37,899,5,978056617,Singin' in the Rain (1952),Musical|Romance
37,1569,4,978057156,My Best Friend's Wedding (1997),Comedy|Romance
38,1620,4,978046134,Kiss the Girls (1997),Crime|Drama|Thriller
38,377,4,978044714,Speed (1994),Action|Romance|Thriller
38,2355,4,978046270,"Bug's Life, A (1998)",Animation|Children's|Comedy
39,2502,5,978043605,Office Space (1999),Comedy|Romance
39,2355,4,978043814,"Bug's Life, A (1998)",Animation|Children's|Comedy
39,3300,2,978044262,Pitch Black (2000),Action|Sci-Fi
40,897,4,978041189,For Whom the Bell Tolls (1943),Adventure|War
40,969,5,978039514,"African Queen, The (1951)",Action|Adventure|Romance|War
40,2871,3,978039629,Deliverance (1972),Adventure|Thriller
41,1033,3,978039045,"Fox and the Hound, The (1981)",Animation|Children's
41,3578,3,978040972,Gladiator (2000),Action|Drama
41,531,4,978039027,"Secret Garden, The (1993)",Children's|Drama
42,66,2,978039659,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
42,457,4,978040857,"Fugitive, The (1993)",Action|Thriller
42,527,4,978041479,Schindler's List (1993),Drama|War
43,1961,3,978026321,Rain Man (1988),Drama
43,356,5,978026305,Forrest Gump (1994),Comedy|Romance|War
43,2858,4,978026708,American Beauty (1999),Comedy|Drama
44,891,1,978041370,Halloween: The Curse of Michael Myers (1995),Horror|Thriller
44,1064,4,978018522,Aladdin and the King of Thieves (1996),Animation|Children's|Comedy
44,3745,4,978018682,Titan A.E. (2000),Adventure|Animation|Sci-Fi
45,2352,4,977990525,"Big Chill, The (1983)",Comedy|Drama
45,2424,2,977989009,You've Got Mail (1998),Comedy|Romance
45,52,4,977990879,Mighty Aphrodite (1995),Comedy
46,1983,5,977978989,Halloween II (1981),Horror
46,1977,5,977979275,Friday the 13th: The Final Chapter (1984),Horror
46,1978,5,977979275,Friday the 13th Part V: A New Beginning (1985),Horror
47,1041,5,977978682,Secrets & Lies (1996),Drama
47,58,3,977978345,"Postino, Il (The Postman) (1994)",Drama|Romance
47,527,5,977978521,Schindler's List (1993),Drama|War
48,1010,3,978063092,"Love Bug, The (1969)",Children's|Comedy
48,1013,3,978066840,"Parent Trap, The (1961)",Children's|Drama
48,2822,2,978130720,Medicine Man (1992),Adventure|Romance
49,2692,4,977973371,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
49,288,4,977975162,Natural Born Killers (1994),Action|Thriller
49,1101,4,977975162,Top Gun (1986),Action|Romance
50,3556,3,977960681,"Virgin Suicides, The (1999)",Comedy|Drama
50,3483,3,977960942,"Road to El Dorado, The (2000)",Animation|Children's
50,23,3,977960565,Assassins (1995),Thriller
51,3554,3,977947654,Love and Basketball (2000),Drama|Romance
51,1923,4,977947931,There's Something About Mary (1998),Comedy
51,318,5,977947600,"Shawshank Redemption, The (1994)",Drama
52,353,5,977947435,"Crow, The (1994)",Action|Romance|Thriller
52,2699,3,977947651,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller
52,3646,1,977948217,Big Momma's House (2000),Comedy
53,3704,4,977976717,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi
53,3489,3,977981604,Hook (1991),Adventure|Fantasy
53,415,3,977975455,Another Stakeout (1993),Comedy|Thriller
54,34,4,977944859,Babe (1995),Children's|Comedy|Drama
54,3363,5,977944688,American Graffiti (1973),Comedy|Drama
54,235,4,977944787,Ed Wood (1994),Comedy|Drama
55,246,3,977939130,Hoop Dreams (1994),Documentary
55,2687,4,977942827,Tarzan (1999),Animation|Children's
55,2761,5,977948346,"Iron Giant, The (1999)",Animation|Children's
56,364,5,977939120,"Lion King, The (1994)",Animation|Children's|Musical
56,2762,4,977938904,"Sixth Sense, The (1999)",Thriller
56,39,4,977939697,Clueless (1995),Comedy|Romance
57,70,3,977935730,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
57,3744,1,977935603,Shaft (2000),Action|Crime
57,522,4,977935656,Romper Stomper (1992),Action|Drama
58,1961,3,977938668,Rain Man (1988),Drama
58,3639,4,977935414,"Man with the Golden Gun, The (1974)",Action
58,2692,5,977935034,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
59,1952,3,977934292,Midnight Cowboy (1969),Drama
59,1953,3,977934237,"French Connection, The (1971)",Action|Crime|Drama|Thriller
59,2686,4,1041962808,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
60,164,2,977932352,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
60,316,3,977931722,Stargate (1994),Action|Adventure|Sci-Fi
60,3386,4,977932263,JFK (1991),Drama|Mystery
61,3617,3,977902949,Road Trip (2000),Comedy
61,3623,3,977902742,Mission: Impossible 2 (2000),Action|Thriller
61,3624,3,977902665,Shanghai Noon (2000),Action
62,3552,2,977928864,Caddyshack (1980),Comedy
62,3481,4,977900705,High Fidelity (2000),Comedy
62,2752,3,977928924,Outrageous Fortune (1987),Comedy|Mystery
63,2826,1,977900049,"13th Warrior, The (1999)",Action|Horror|Thriller
63,1950,5,979518533,In the Heat of the Night (1967),Drama|Mystery
63,2580,4,977900426,Go (1999),Crime
64,3555,4,977892698,U-571 (2000),Action|Thriller
64,2762,5,977891721,"Sixth Sense, The (1999)",Thriller
64,2913,4,977891508,"Mating Habits of the Earthbound Human, The (1998)",Comedy
65,1954,4,986615183,Rocky (1976),Action|Drama
65,3623,4,977887872,Mission: Impossible 2 (2000),Action|Thriller
65,3552,4,1010857467,Caddyshack (1980),Comedy
66,3578,5,977886016,Gladiator (2000),Action|Drama
66,2858,5,977885979,American Beauty (1999),Comedy|Drama
66,2791,5,977886016,Airplane! (1980),Comedy
67,1953,5,977885376,"French Connection, The (1971)",Action|Crime|Drama|Thriller
67,1956,4,977885175,Ordinary People (1980),Drama
67,1955,4,977886364,Kramer Vs. Kramer (1979),Drama
68,2762,4,977882556,"Sixth Sense, The (1999)",Thriller
68,1968,4,977883653,"Breakfast Club, The (1985)",Comedy|Drama
68,1966,5,991376070,Metropolitan (1990),Comedy
69,509,4,977881858,"Piano, The (1993)",Drama|Romance
69,40,5,977881894,"Cry, the Beloved Country (1995)",Drama
69,431,5,977881793,Carlito's Way (1993),Crime|Drama
70,2688,3,977877962,"General's Daughter, The (1999)",Drama|Thriller
70,2683,4,977877689,Austin Powers: The Spy Who Shagged Me (1999),Comedy
70,2828,2,977877882,Dudley Do-Right (1999),Children's|Comedy
71,2640,5,977875192,Superman (1978),Action|Adventure|Sci-Fi
71,3717,4,977875709,Gone in 60 Seconds (2000),Action|Crime
71,2683,4,977875846,Austin Powers: The Spy Who Shagged Me (1999),Comedy
72,11,5,977868986,"American President, The (1995)",Comedy|Drama|Romance
72,1580,2,977869287,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
72,2396,4,977868758,Shakespeare in Love (1998),Comedy|Romance
73,3624,4,977865276,Shanghai Noon (2000),Action
73,198,4,977866770,Strange Days (1995),Action|Crime|Sci-Fi
73,196,2,977888529,Species (1995),Horror|Sci-Fi
74,3451,4,983915672,Guess Who's Coming to Dinner (1967),Comedy|Drama
74,36,5,983916046,Dead Man Walking (1995),Drama
74,2583,3,993339349,Cookie's Fortune (1999),Mystery
75,19,5,977850778,Ace Ventura: When Nature Calls (1995),Comedy
75,13,4,977852518,Balto (1995),Animation|Children's
75,262,4,977851295,"Little Princess, A (1995)",Children's|Drama
76,1101,4,977846589,Top Gun (1986),Action|Romance
76,3717,4,989092194,Gone in 60 Seconds (2000),Action|Crime
76,3578,5,989092133,Gladiator (2000),Action|Drama
77,2770,3,977813725,Bowfinger (1999),Comedy
77,2683,4,977813642,Austin Powers: The Spy Who Shagged Me (1999),Comedy
77,2759,4,977813777,Dick (1999),Comedy
78,199,4,977811895,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
78,1951,2,977811665,Oliver! (1968),Musical
78,1883,2,978571083,Bulworth (1998),Comedy
79,2686,5,977805821,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
79,164,4,977805731,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
79,3476,5,977805731,Jacob's Ladder (1990),Horror|Mystery|Thriller
80,231,4,977787666,Dumb & Dumber (1994),Comedy
80,1917,4,977789264,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller
80,2628,3,977789085,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi
81,3742,5,977785550,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",Drama|War
81,2921,5,977784318,High Plains Drifter (1972),Western
81,3741,5,977784893,Badlands (1973),Crime|Drama
82,185,3,977774299,"Net, The (1995)",Sci-Fi|Thriller
82,3476,4,977773753,Jacob's Ladder (1990),Horror|Mystery|Thriller
82,10,4,977775855,GoldenEye (1995),Action|Adventure|Thriller
83,2692,5,977719781,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
83,2690,3,977719397,"Ideal Husband, An (1999)",Comedy
83,2762,5,977719863,"Sixth Sense, The (1999)",Thriller
84,3578,5,977716772,Gladiator (2000),Action|Drama
84,435,2,977716318,Coneheads (1993),Comedy|Sci-Fi
84,2858,4,977717867,American Beauty (1999),Comedy|Drama
85,2858,5,979499806,American Beauty (1999),Comedy|Drama
85,2683,4,992325141,Austin Powers: The Spy Who Shagged Me (1999),Comedy
85,277,3,979499889,Miracle on 34th Street (1994),Drama
86,1013,4,977706534,"Parent Trap, The (1961)",Children's|Drama
86,3623,4,977695949,Mission: Impossible 2 (2000),Action|Thriller
86,260,5,978814205,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
87,438,1,977694723,"Cowboy Way, The (1994)",Action|Comedy
87,3578,5,977694631,Gladiator (2000),Action|Drama
87,1036,3,977694631,Die Hard (1988),Action|Thriller
88,1207,5,977695443,To Kill a Mockingbird (1962),Drama
88,2927,5,977695397,Brief Encounter (1946),Drama|Romance
88,1203,5,977695689,12 Angry Men (1957),Drama
89,2791,1,993955973,Airplane! (1980),Comedy
89,2792,1,993955973,Airplane II: The Sequel (1982),Comedy
89,527,5,993955959,Schindler's List (1993),Drama|War
90,257,4,993876438,Just Cause (1995),Mystery|Thriller
90,2688,3,993875940,"General's Daughter, The (1999)",Drama|Thriller
90,185,3,993875556,"Net, The (1995)",Sci-Fi|Thriller
91,3421,5,977666266,Animal House (1978),Comedy
91,514,4,977666196,"Ref, The (1994)",Comedy
91,3363,5,977666159,American Graffiti (1973),Comedy|Drama
92,3477,2,977859807,Empire Records (1995),Comedy|Drama
92,1873,2,977645774,"Misérables, Les (1998)",Drama
92,1009,3,986189112,Escape to Witch Mountain (1975),Adventure|Children's|Fantasy
93,2826,4,977632100,"13th Warrior, The (1999)",Action|Horror|Thriller
93,3623,1,977631973,Mission: Impossible 2 (2000),Action|Thriller
93,198,3,977632002,Strange Days (1995),Action|Crime|Sci-Fi
94,1961,4,977628482,Rain Man (1988),Drama
94,2118,4,977628669,"Dead Zone, The (1983)",Horror|Thriller
94,3917,4,977628669,Hellraiser (1987),Horror
95,318,4,977628845,"Shawshank Redemption, The (1994)",Drama
95,10,4,977626958,GoldenEye (1995),Action|Adventure|Thriller
95,337,2,977629290,What's Eating Gilbert Grape (1993),Drama
96,3578,3,980564486,Gladiator (2000),Action|Drama
96,1954,3,980563445,Rocky (1976),Action|Drama
96,1036,4,980563418,Die Hard (1988),Action|Thriller
97,2648,5,977622259,Frankenstein (1931),Horror
97,3384,3,977622032,"Taking of Pelham One Two Three, The (1974)",Action
97,1929,4,977622298,Grand Hotel (1932),Drama
98,296,4,977619823,Pulp Fiction (1994),Crime|Drama
98,1129,4,977619477,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
98,2791,5,977619432,Airplane! (1980),Comedy
99,50,5,977608620,"Usual Suspects, The (1995)",Crime|Thriller
99,34,3,982873715,Babe (1995),Children's|Comedy|Drama
99,2858,4,977608877,American Beauty (1999),Comedy|Drama
100,1954,4,977594113,Rocky (1976),Action|Drama
100,15,3,977594656,Cutthroat Island (1995),Action|Adventure|Romance
100,21,4,977594079,Get Shorty (1995),Action|Comedy|Drama
101,1954,5,977578003,Rocky (1976),Action|Drama
101,21,4,977578111,Get Shorty (1995),Action|Comedy|Drama
101,2763,5,977578853,"Thomas Crown Affair, The (1999)",Action|Thriller
102,2683,1,1039273146,Austin Powers: The Spy Who Shagged Me (1999),Comedy
102,10,2,1039275574,GoldenEye (1995),Action|Adventure|Thriller
102,3554,5,1002829258,Love and Basketball (2000),Drama|Romance
103,3555,5,977554196,U-571 (2000),Action|Thriller
103,292,5,977555434,Outbreak (1995),Action|Drama|Thriller
103,434,4,977555541,Cliffhanger (1993),Action|Adventure|Crime
104,1911,4,977546875,Doctor Dolittle (1998),Comedy
104,2841,3,977547037,Stir of Echoes (1999),Thriller
104,2574,3,977546648,"Out-of-Towners, The (1999)",Comedy
105,2692,4,977544060,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
105,1242,5,977544184,Glory (1989),Action|Drama|War
105,2872,4,977544322,Excalibur (1981),Action|Drama|Fantasy|Romance
106,1968,4,977535770,"Breakfast Club, The (1985)",Comedy|Drama
106,28,5,977536060,Persuasion (1995),Romance
106,265,4,977536060,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
107,260,5,977533998,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
107,1956,3,977534249,Ordinary People (1980),Drama
107,3702,4,977534412,Mad Max (1979),Action|Sci-Fi
108,3675,3,977527518,White Christmas (1954),Musical
108,2791,4,977527478,Airplane! (1980),Comedy
108,2792,3,977527581,Airplane II: The Sequel (1982),Comedy
109,1876,3,977517659,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller
109,1035,4,977528275,"Sound of Music, The (1965)",Musical
109,1028,4,977528296,Mary Poppins (1964),Children's|Comedy|Musical
110,293,4,977514421,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller
110,434,2,977514593,Cliffhanger (1993),Action|Adventure|Crime
110,3578,5,977514932,Gladiator (2000),Action|Drama
111,2762,4,977511914,"Sixth Sense, The (1999)",Thriller
111,2916,3,977512527,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
111,36,4,977512052,Dead Man Walking (1995),Drama
112,2700,5,977508599,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy
112,3429,3,977508486,Creature Comforts (1990),Animation|Comedy
112,3334,5,977508731,Key Largo (1948),Crime|Drama|Film-Noir|Thriller
113,3646,3,977507084,Big Momma's House (2000),Comedy
113,3484,4,977506534,"Skulls, The (2000)",Thriller
113,1101,4,977506142,Top Gun (1986),Action|Romance
114,1014,4,977506599,Pollyanna (1960),Children's|Comedy|Drama
114,1017,4,977506471,Swiss Family Robinson (1960),Adventure|Children's
114,1018,4,977506755,That Darn Cat! (1965),Children's|Comedy|Mystery
115,1976,2,977502004,Friday the 13th Part 3: 3D (1982),Horror
115,1129,5,977501936,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
115,3918,3,977501986,Hellbound: Hellraiser II (1988),Horror
116,2763,3,977497102,"Thomas Crown Affair, The (1999)",Action|Thriller
116,1036,5,997448075,Die Hard (1988),Action|Thriller
116,2772,5,977496944,Detroit Rock City (1999),Comedy
117,349,4,977501371,Clear and Present Danger (1994),Action|Adventure|Thriller
117,3700,3,977496447,"Brother from Another Planet, The (1984)",Drama|Sci-Fi
117,3701,4,977497416,Alien Nation (1988),Crime|Drama|Sci-Fi
118,3702,3,977501154,Mad Max (1979),Action|Sci-Fi
118,349,3,977501253,Clear and Present Danger (1994),Action|Adventure|Thriller
118,3703,4,977500763,Mad Max 2 (a.k.a. The Road Warrior) (1981),Action|Sci-Fi
119,2723,5,977468838,Mystery Men (1999),Action|Adventure|Comedy
119,2581,4,977468838,Never Been Kissed (1999),Comedy|Romance
119,241,3,977514038,Fluke (1995),Children's|Drama
120,527,5,977458988,Schindler's List (1993),Drama|War
120,1203,3,978149525,12 Angry Men (1957),Drama
120,1208,5,978149909,Apocalypse Now (1979),Drama|War
121,382,4,977458579,Wolf (1994),Drama|Horror
121,3704,5,977459103,Mad Max Beyond Thunderdome (1985),Action|Sci-Fi
121,1127,3,977457864,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
122,3578,1,993446172,Gladiator (2000),Action|Drama
122,1101,4,977480772,Top Gun (1986),Action|Romance
122,2692,4,977480610,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance
123,2683,2,977446823,Austin Powers: The Spy Who Shagged Me (1999),Comedy
123,1955,4,979324097,Kramer Vs. Kramer (1979),Drama
123,1953,4,977529736,"French Connection, The (1971)",Action|Crime|Drama|Thriller
124,3298,4,983727215,Boiler Room (2000),Drama
124,34,5,983727088,Babe (1995),Children's|Comedy|Drama
124,2912,4,983726975,"Limey, The (1999)",Action|Crime|Drama
125,524,3,977445303,Rudy (1993),Drama
125,457,4,977445597,"Fugitive, The (1993)",Action|Thriller
125,1242,5,977445645,Glory (1989),Action|Drama|War
126,1046,5,977444835,Beautiful Thing (1996),Drama|Romance
126,3578,4,977444296,Gladiator (2000),Action|Drama
126,1036,1,977445063,Die Hard (1988),Action|Thriller
127,1954,4,1006029316,Rocky (1976),Action|Drama
127,32,4,977437557,Twelve Monkeys (1995),Drama|Sci-Fi
127,1889,3,988496726,Insomnia (1997),Thriller
128,2657,5,977434498,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi
128,1968,3,977434184,"Breakfast Club, The (1985)",Comedy|Drama
128,2858,5,977434389,American Beauty (1999),Comedy|Drama
129,1036,5,977433434,Die Hard (1988),Action|Thriller
129,42,2,977435279,Dead Presidents (1995),Action|Crime|Drama
129,3578,4,977433434,Gladiator (2000),Action|Drama
130,3578,5,977431317,Gladiator (2000),Action|Drama
130,368,5,977432262,Maverick (1994),Action|Comedy|Western
130,296,5,977431200,Pulp Fiction (1994),Crime|Drama
131,265,2,977453747,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
131,1952,4,977455641,Midnight Cowboy (1969),Drama
131,3481,2,977430496,High Fidelity (2000),Comedy
132,3608,4,977428857,Pee-wee's Big Adventure (1985),Comedy
132,2599,4,977427960,Election (1999),Comedy
132,180,2,977429393,Mallrats (1995),Comedy
133,1884,1,977425300,Fear and Loathing in Las Vegas (1998),Comedy|Drama
133,1958,5,977423612,Terms of Endearment (1983),Comedy|Drama
133,2688,5,977425867,"General's Daughter, The (1999)",Drama|Thriller
134,3624,4,977461007,Shanghai Noon (2000),Action
134,3623,2,1005595701,Mission: Impossible 2 (2000),Action|Thriller
134,198,1,978038550,Strange Days (1995),Action|Crime|Sci-Fi
135,24,3,977417027,Powder (1995),Drama|Sci-Fi
135,2688,3,977416931,"General's Daughter, The (1999)",Drama|Thriller
135,2686,5,977417044,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
136,1029,2,977530517,Dumbo (1941),Animation|Children's|Musical
136,272,4,977422645,"Madness of King George, The (1994)",Drama
136,1966,4,977422309,Metropolitan (1990),Comedy
137,1876,4,1000869832,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller
137,2672,4,977373416,"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller
137,329,5,1000867600,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
138,1859,4,977362228,Taste of Cherry (1997),Drama
138,2858,5,977362255,American Beauty (1999),Comedy|Drama
138,296,5,977362380,Pulp Fiction (1994),Crime|Drama
139,1024,3,977362698,"Three Caballeros, The (1945)",Animation|Children's|Musical
139,1031,4,977362297,Bedknobs and Broomsticks (1971),Adventure|Children's|Musical
139,3639,3,977361871,"Man with the Golden Gun, The (1974)",Action
140,260,4,993950520,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi
140,1942,3,987130810,All the King's Men (1949),Drama
140,1941,3,987130810,Hamlet (1948),Drama
141,3578,4,977357480,Gladiator (2000),Action|Drama
141,2858,3,977357453,American Beauty (1999),Comedy|Drama
141,3801,4,977357612,Anatomy of a Murder (1959),Drama|Mystery
142,2858,3,977352170,American Beauty (1999),Comedy|Drama
142,1885,3,977352524,"Opposite of Sex, The (1998)",Comedy|Drama
142,25,2,977350562,Leaving Las Vegas (1995),Drama|Romance
143,2686,4,977350746,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
143,2759,3,977350593,Dick (1999),Comedy
143,2683,4,977350535,Austin Powers: The Spy Who Shagged Me (1999),Comedy
144,2686,5,977345805,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
144,3408,5,977345686,Erin Brockovich (2000),Drama
144,2571,5,977346509,"Matrix, The (1999)",Action|Sci-Fi|Thriller
145,2580,4,977345546,Go (1999),Crime
145,2599,4,977345490,Election (1999),Comedy
